pi_number , temperature in celcius, humidity percentage, date time
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:49:35 2015
1,19.399999618530273,60.0,Tue Aug 11 16:49:46 2015
1,19.399999618530273,60.0,Tue Aug 11 16:49:52 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:07 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:13 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:18 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:32 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:40 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:48 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:53 2015
1,19.399999618530273,60.099998474121094,Tue Aug 11 16:50:59 2015
1,19.399999618530273,60.0,Tue Aug 11 16:51:07 2015
1,19.399999618530273,60.0,Tue Aug 11 16:51:13 2015
1,19.399999618530273,60.0,Tue Aug 11 16:51:18 2015
1,19.399999618530273,60.0,Tue Aug 11 16:51:24 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:51:32 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:51:37 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:51:43 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:51:53 2015
1,19.399999618530273,60.0,Tue Aug 11 16:51:59 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:52:05 2015
1,19.399999618530273,59.900001525878906,Tue Aug 11 16:52:15 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:52:21 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:52:27 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:52:32 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:52:38 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:52:43 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:52:49 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:52:57 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:53:03 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:53:09 2015
1,19.399999618530273,59.79999923706055,Tue Aug 11 16:53:14 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:53:20 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:53:28 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:53:34 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:53:39 2015
1,19.399999618530273,59.70000076293945,Tue Aug 11 16:53:45 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:53:53 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:53:59 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:04 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:10 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:16 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:21 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:29 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:38 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:43 2015
1,19.5,59.70000076293945,Tue Aug 11 16:54:49 2015
1,19.399999618530273,59.599998474121094,Tue Aug 11 16:54:55 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:03 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:08 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:14 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:20 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:35 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:41 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:49 2015
1,19.399999618530273,59.5,Tue Aug 11 16:55:55 2015
1,19.399999618530273,59.5,Tue Aug 11 16:56:00 2015
1,19.399999618530273,59.5,Tue Aug 11 16:56:06 2015
1,19.399999618530273,59.5,Tue Aug 11 16:56:12 2015
1,19.399999618530273,59.5,Tue Aug 11 16:56:17 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:56:28 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:56:34 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:56:39 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:56:45 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:56:51 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:56:56 2015
1,19.399999618530273,59.5,Tue Aug 11 16:57:02 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:57:10 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:57:16 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:57:21 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:57:27 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:57:35 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:57:46 2015
1,19.399999618530273,59.400001525878906,Tue Aug 11 16:58:02 2015
